,Time,N
232,2.32000,15.89686
233,2.33000,15.92866
234,2.34000,15.96051
235,2.35000,15.99243
236,2.36000,16.02442
237,2.37000,16.05647
238,2.38000,16.08858
239,2.39000,16.12076
240,2.40000,16.15300
241,2.41000,16.18531
242,2.42000,16.21768
243,2.43000,16.25011
244,2.44000,16.28261
245,2.45000,16.31518
246,2.46000,16.34781
247,2.47000,16.38050
248,2.48000,16.41326
249,2.49000,16.44609
250,2.50000,16.47898
251,2.51000,16.51194
252,2.52000,16.54496
253,2.53000,16.57805
254,2.54000,16.61121
255,2.55000,16.64443
256,2.56000,16.67772
257,2.57000,16.71108
258,2.58000,16.74450
259,2.59000,16.77799
260,2.60000,16.81154
261,2.61000,16.84517
262,2.62000,16.87886
263,2.63000,16.91262
264,2.64000,16.94644
265,2.65000,16.98033
266,2.66000,17.01429
267,2.67000,17.04832
268,2.68000,17.08242
269,2.69000,17.11658
270,2.70000,17.15082
271,2.71000,17.18512
272,2.72000,17.21949
273,2.73000,17.25393
274,2.74000,17.28844
275,2.75000,17.32301
276,2.76000,17.35766
277,2.77000,17.39237
278,2.78000,17.42716
279,2.79000,17.46201
280,2.80000,17.49694
281,2.81000,17.53193
282,2.82000,17.56699
283,2.83000,17.60213
284,2.84000,17.63733
285,2.85000,17.67261
286,2.86000,17.70795
287,2.87000,17.74337
288,2.88000,17.77886
289,2.89000,17.81441
290,2.90000,17.85004
291,2.91000,17.88574
292,2.92000,17.92151
293,2.93000,17.95736
294,2.94000,17.99327
295,2.95000,18.02926
296,2.96000,18.06532
297,2.97000,18.10145
298,2.98000,18.13765
299,2.99000,18.17393
300,3.00000,18.21027
301,3.01000,18.24669
302,3.02000,18.28319
303,3.03000,18.31975
304,3.04000,18.35639
305,3.05000,18.39311
306,3.06000,18.42989
307,3.07000,18.46675
308,3.08000,18.50369
309,3.09000,18.54069
310,3.10000,18.57777
311,3.11000,18.61493
312,3.12000,18.65216
313,3.13000,18.68946
314,3.14000,18.72684
315,3.15000,18.76430
316,3.16000,18.80182
317,3.17000,18.83943
318,3.18000,18.87711
319,3.19000,18.91486
320,3.20000,18.95269
321,3.21000,18.99060
322,3.22000,19.02858
323,3.23000,19.06664
324,3.24000,19.10477
325,3.25000,19.14298
326,3.26000,19.18126
327,3.27000,19.21963
328,3.28000,19.25807
329,3.29000,19.29658
330,3.30000,19.33517
331,3.31000,19.37385
332,3.32000,19.41259
333,3.33000,19.45142
334,3.34000,19.49032
335,3.35000,19.52930
336,3.36000,19.56836
337,3.37000,19.60750
338,3.38000,19.64671
339,3.39000,19.68601
340,3.40000,19.72538
341,3.41000,19.76483
342,3.42000,19.80436
343,3.43000,19.84397
344,3.44000,19.88365
345,3.45000,19.92342
346,3.46000,19.96327
347,3.47000,20.00320
348,3.48000,20.04320
349,3.49000,20.08329
350,3.50000,20.12345
351,3.51000,20.16370
352,3.52000,20.20403
353,3.53000,20.24444
