#t, S, I, R
0.492067 995.108533 4.815509 0.075958 
0.495829 995.090504 4.832813 0.076683 
0.499591 995.072410 4.850180 0.077410 
0.503354 995.054250 4.867610 0.078140 
0.507117 995.036025 4.885102 0.078872 
0.510879 995.017735 4.902657 0.079608 
0.514642 994.999378 4.920276 0.080346 
0.518405 994.980956 4.937958 0.081086 
0.522168 994.962466 4.955704 0.081830 
0.525931 994.943911 4.973514 0.082576 
0.529695 994.925288 4.991388 0.083324 
0.533458 994.906598 5.009326 0.084076 
0.537221 994.887841 5.027329 0.084830 
0.540985 994.869016 5.045397 0.085587 
0.544749 994.850124 5.063530 0.086346 
0.548513 994.831163 5.081728 0.087109 
0.552277 994.812134 5.099992 0.087874 
0.556041 994.793036 5.118322 0.088642 
0.559805 994.773870 5.136718 0.089412 
0.563569 994.754634 5.155180 0.090186 
0.567333 994.735329 5.173709 0.090962 
0.571098 994.715955 5.192304 0.091741 
0.574863 994.696511 5.210966 0.092523 
0.578627 994.676996 5.229696 0.093308 
0.582392 994.657411 5.248493 0.094095 
0.586157 994.637756 5.267358 0.094886 
0.589922 994.618029 5.286291 0.095679 
0.593687 994.598232 5.305293 0.096475 
0.597453 994.578363 5.324363 0.097274 
0.601218 994.558423 5.343501 0.098076 
0.604984 994.538410 5.362709 0.098881 
0.608749 994.518326 5.381985 0.099689 
0.612515 994.498169 5.401332 0.100500 
0.616281 994.477939 5.420748 0.101313 
0.620047 994.457636 5.440234 0.102130 
0.623813 994.437261 5.459790 0.102950 
0.627580 994.416811 5.479417 0.103772 
0.631346 994.396288 5.499114 0.104598 
0.635113 994.375691 5.518883 0.105426 
0.638879 994.355020 5.538723 0.106258 
0.642646 994.334274 5.558634 0.107092 
0.646413 994.313453 5.578617 0.107930 
0.650180 994.292557 5.598672 0.108770 
0.653947 994.271586 5.618800 0.109614 
0.657714 994.250539 5.639000 0.110461 
0.661482 994.229416 5.659273 0.111311 
0.665249 994.208217 5.679619 0.112164 
0.669017 994.186942 5.700039 0.113020 
0.672784 994.165590 5.720532 0.113879 
0.676552 994.144160 5.741099 0.114741 
0.680320 994.122654 5.761740 0.115606 
0.684088 994.101070 5.782456 0.116475 
0.687857 994.079408 5.803246 0.117346 
0.691625 994.057668 5.824111 0.118221 
0.695394 994.035849 5.845052 0.119099 
0.699162 994.013952 5.866068 0.119980 
0.702931 993.991975 5.887160 0.120864 
0.706700 993.969920 5.908328 0.121752 
0.710469 993.947785 5.929573 0.122643 
0.714238 993.925570 5.950894 0.123537 
0.718007 993.903274 5.972292 0.124434 
0.721777 993.880899 5.993767 0.125335 
0.725546 993.858442 6.015319 0.126238 
0.729316 993.835905 6.036950 0.127145 
0.733086 993.813286 6.058658 0.128056 
0.736856 993.790586 6.080445 0.128969 
0.740626 993.767803 6.102310 0.129886 
0.744396 993.744939 6.124255 0.130807 
0.748167 993.721991 6.146278 0.131730 
0.751937 993.698962 6.168381 0.132657 
0.755708 993.675849 6.190564 0.133588 
0.759479 993.652652 6.212826 0.134522 
0.763249 993.629372 6.235169 0.135459 
0.767021 993.606008 6.257593 0.136399 
0.770792 993.582559 6.280098 0.137343 
0.774563 993.559026 6.302683 0.138291 
0.778335 993.535408 6.325351 0.139242 
0.782106 993.511704 6.348100 0.140196 
0.785878 993.487915 6.370931 0.141154 
0.789650 993.464040 6.393845 0.142115 
0.793422 993.440079 6.416841 0.143080 
0.797194 993.416032 6.439920 0.144048 
0.800966 993.391897 6.463083 0.145020 
0.804739 993.367676 6.486329 0.145995 
0.808511 993.343367 6.509659 0.146974 
0.812284 993.318970 6.533074 0.147956 
0.816057 993.294485 6.556573 0.148942 
0.819830 993.269912 6.580156 0.149932 
0.823603 993.245250 6.603825 0.150925 
0.827377 993.220499 6.627579 0.151922 
0.831150 993.195658 6.651419 0.152922 
0.834924 993.170728 6.675346 0.153926 
0.838697 993.145708 6.699358 0.154934 
0.842471 993.120598 6.723457 0.155945 
0.846245 993.095396 6.747643 0.156960 
0.850020 993.070104 6.771917 0.157979 
0.853794 993.044720 6.796278 0.159001 
0.857569 993.019245 6.820727 0.160028 
0.861343 992.993678 6.845265 0.161057 
0.865118 992.968018 6.869891 0.162091 
0.868893 992.942266 6.894606 0.163128 
0.872668 992.916420 6.919410 0.164170 
0.876443 992.890482 6.944304 0.165215 
0.880219 992.864449 6.969288 0.166263 
0.883994 992.838323 6.994361 0.167316 
0.887770 992.812102 7.019526 0.168372 
0.891546 992.785786 7.044781 0.169433 
0.895322 992.759375 7.070128 0.170497 
0.899098 992.732869 7.095566 0.171565 
0.902875 992.706267 7.121096 0.172636 
0.906651 992.679569 7.146718 0.173712 
0.910428 992.652775 7.172433 0.174792 
0.914205 992.625884 7.198241 0.175876 
0.917982 992.598895 7.224142 0.176963 
0.921759 992.571809 7.250136 0.178055 
0.925536 992.544625 7.276225 0.179150 
0.929314 992.517343 7.302407 0.180250 
0.933092 992.489962 7.328685 0.181353 
0.936869 992.462483 7.355057 0.182461 
0.940647 992.434903 7.381524 0.183572 
0.944425 992.407225 7.408088 0.184688 
0.948204 992.379446 7.434747 0.185807 
0.951982 992.351567 7.461502 0.186931 
0.955761 992.323587 7.488354 0.188059 
0.959540 992.295506 7.515303 0.189191 
0.963319 992.267323 7.542350 0.190327 
0.967098 992.239039 7.569494 0.191467 
0.970877 992.210652 7.596737 0.192611 
0.974657 992.182163 7.624077 0.193760 
0.978436 992.153570 7.651517 0.194913 
0.982216 992.124875 7.679056 0.196070 
0.985996 992.096075 7.706694 0.197231 
0.989776 992.067171 7.734433 0.198396 
0.993557 992.038163 7.762271 0.199566 
0.997337 992.009050 7.790210 0.200740 
